data: {'type': 'data', 'value': {'barometer_altitude': -120.0, 'latitude': 40.388569, 'longitude': -87.514183, 'altitude': 188, 'highG_ax': 1.064453, 'highG_ay': -0.011719, 'highG_az': 0.027344, 'battery_voltage': 3.984375, 'cam_battery_voltage': 7.341177, 'FSM_State': 2, 'tilt_angle': 2.769231, 'frequency': 421.149994, 'RSSI': 43.0, 'sat_count': 7, 'kf_velocity': 0.0, 'kf_position': -120.544434, 'is_sustainer': 1, 'roll_rate': 0.0, 'c_valid': 0, 'c_on': 0, 'c_rec': 0, 'vtx_on': 1, 'vmux_stat': 0, 'cam_ack': 0, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.022047, 'pyro_c': 0.006299, 'pyro_d': 3.590551}}
command_acknowledge: {'type': 'command_acknowledge'}
data: {'type': 'data', 'value': {'barometer_altitude': -118.0, 'latitude': 40.388508, 'longitude': -87.51416, 'altitude': 180, 'highG_ax': 0.984375, 'highG_ay': 0.029297, 'highG_az': -0.041016, 'battery_voltage': 3.960938, 'cam_battery_voltage': 0.0, 'FSM_State': 2, 'tilt_angle': 3.076923, 'frequency': 425.149994, 'RSSI': 37.5, 'sat_count': 8, 'kf_velocity': -0.030518, 'kf_position': -118.408203, 'is_sustainer': 0, 'roll_rate': 0.0, 'c_valid': 1, 'c_on': 3, 'c_rec': 3, 'vtx_on': 1, 'vmux_stat': 1, 'cam_ack': 1, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.025197, 'pyro_c': 0.007874, 'pyro_d': 4.062992}}
data: {'type': 'data', 'value': {'barometer_altitude': -120.0, 'latitude': 40.388569, 'longitude': -87.514183, 'altitude': 188, 'highG_ax': 1.009766, 'highG_ay': -0.017578, 'highG_az': -0.078125, 'battery_voltage': 3.984375, 'cam_battery_voltage': 7.341177, 'FSM_State': 2, 'tilt_angle': 2.769231, 'frequency': 421.149994, 'RSSI': 43.5, 'sat_count': 7, 'kf_velocity': 0.0, 'kf_position': -120.544434, 'is_sustainer': 1, 'roll_rate': 0.0, 'c_valid': 0, 'c_on': 0, 'c_rec': 0, 'vtx_on': 1, 'vmux_stat': 0, 'cam_ack': 0, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.022047, 'pyro_c': 0.006299, 'pyro_d': 3.590551}}
data: {'type': 'data', 'value': {'barometer_altitude': -118.0, 'latitude': 40.388508, 'longitude': -87.51416, 'altitude': 180, 'highG_ax': 1.013672, 'highG_ay': -0.025391, 'highG_az': -0.009766, 'battery_voltage': 3.960938, 'cam_battery_voltage': 0.0, 'FSM_State': 2, 'tilt_angle': 3.076923, 'frequency': 425.149994, 'RSSI': 37.5, 'sat_count': 8, 'kf_velocity': -0.030518, 'kf_position': -118.408203, 'is_sustainer': 0, 'roll_rate': 0.0, 'c_valid': 1, 'c_on': 3, 'c_rec': 3, 'vtx_on': 1, 'vmux_stat': 1, 'cam_ack': 1, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.025197, 'pyro_c': 0.007874, 'pyro_d': 4.062992}}
data: {'type': 'data', 'value': {'barometer_altitude': -120.0, 'latitude': 40.388569, 'longitude': -87.514183, 'altitude': 188, 'highG_ax': 1.033203, 'highG_ay': 0.021484, 'highG_az': -0.091797, 'battery_voltage': 3.984375, 'cam_battery_voltage': 7.305882, 'FSM_State': 2, 'tilt_angle': 2.725275, 'frequency': 421.149994, 'RSSI': 43.0, 'sat_count': 7, 'kf_velocity': 0.0, 'kf_position': -120.544434, 'is_sustainer': 1, 'roll_rate': 0.0, 'c_valid': 0, 'c_on': 0, 'c_rec': 0, 'vtx_on': 1, 'vmux_stat': 0, 'cam_ack': 0, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.022047, 'pyro_c': 0.006299, 'pyro_d': 3.590551}}
data: {'type': 'data', 'value': {'barometer_altitude': -118.0, 'latitude': 40.388508, 'longitude': -87.51416, 'altitude': 180, 'highG_ax': 1.011719, 'highG_ay': -0.048828, 'highG_az': -0.066406, 'battery_voltage': 3.960938, 'cam_battery_voltage': 0.0, 'FSM_State': 2, 'tilt_angle': 3.076923, 'frequency': 425.149994, 'RSSI': 37.0, 'sat_count': 8, 'kf_velocity': -0.030518, 'kf_position': -118.408203, 'is_sustainer': 0, 'roll_rate': 0.0, 'c_valid': 1, 'c_on': 3, 'c_rec': 3, 'vtx_on': 1, 'vmux_stat': 1, 'cam_ack': 1, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.025197, 'pyro_c': 0.007874, 'pyro_d': 4.062992}}
data: {'type': 'data', 'value': {'barometer_altitude': -120.0, 'latitude': 40.388569, 'longitude': -87.514183, 'altitude': 188, 'highG_ax': 1.019531, 'highG_ay': -0.015625, 'highG_az': -0.091797, 'battery_voltage': 3.984375, 'cam_battery_voltage': 7.305882, 'FSM_State': 2, 'tilt_angle': 2.769231, 'frequency': 421.149994, 'RSSI': 43.0, 'sat_count': 7, 'kf_velocity': 0.0, 'kf_position': -120.544434, 'is_sustainer': 1, 'roll_rate': 0.0, 'c_valid': 0, 'c_on': 0, 'c_rec': 0, 'vtx_on': 1, 'vmux_stat': 0, 'cam_ack': 0, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.023622, 'pyro_c': 0.006299, 'pyro_d': 3.590551}}
data: {'type': 'data', 'value': {'barometer_altitude': -118.0, 'latitude': 40.388508, 'longitude': -87.51416, 'altitude': 180, 'highG_ax': 0.998047, 'highG_ay': -0.001953, 'highG_az': -0.041016, 'battery_voltage': 3.960938, 'cam_battery_voltage': 0.0, 'FSM_State': 2, 'tilt_angle': 3.076923, 'frequency': 425.149994, 'RSSI': 37.5, 'sat_count': 8, 'kf_velocity': -0.030518, 'kf_position': -118.408203, 'is_sustainer': 0, 'roll_rate': 0.0, 'c_valid': 1, 'c_on': 3, 'c_rec': 3, 'vtx_on': 1, 'vmux_stat': 1, 'cam_ack': 1, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.025197, 'pyro_c': 0.007874, 'pyro_d': 4.062992}}
data: {'type': 'data', 'value': {'barometer_altitude': -120.0, 'latitude': 40.388569, 'longitude': -87.514183, 'altitude': 188, 'highG_ax': 1.015625, 'highG_ay': -0.035156, 'highG_az': -0.070312, 'battery_voltage': 3.984375, 'cam_battery_voltage': 7.305882, 'FSM_State': 2, 'tilt_angle': 2.725275, 'frequency': 421.149994, 'RSSI': 43.0, 'sat_count': 7, 'kf_velocity': 0.0, 'kf_position': -120.544434, 'is_sustainer': 1, 'roll_rate': 0.0, 'c_valid': 0, 'c_on': 0, 'c_rec': 0, 'vtx_on': 1, 'vmux_stat': 0, 'cam_ack': 0, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.022047, 'pyro_c': 0.006299, 'pyro_d': 3.590551}}
data: {'type': 'data', 'value': {'barometer_altitude': -118.0, 'latitude': 40.388508, 'longitude': -87.51416, 'altitude': 180, 'highG_ax': 0.980469, 'highG_ay': -0.037109, 'highG_az': -0.078125, 'battery_voltage': 3.960938, 'cam_battery_voltage': 0.0, 'FSM_State': 2, 'tilt_angle': 3.076923, 'frequency': 425.149994, 'RSSI': 37.5, 'sat_count': 8, 'kf_velocity': -0.030518, 'kf_position': -118.408203, 'is_sustainer': 0, 'roll_rate': 0.0, 'c_valid': 1, 'c_on': 3, 'c_rec': 3, 'vtx_on': 1, 'vmux_stat': 1, 'cam_ack': 1, 'cmd_ack': 0, 'gps_fixtype': 3, 'pyro_a': 3.0, 'pyro_b': 0.025197, 'pyro_c': 0.007874, 'pyro_d': 4.062992}}
